canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_value,type,value
O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1nnc(-c2ccncc2)s1,CHEMBL2426168,=,=,IC50,5000.0,IC50,5.0
COc1ccc2nc(O)c(-c3noc(-c4ccc(F)cc4)n3)cc2c1,CHEMBL1399711,=,=,IC50,2300.0,IC50,2.3
COc1ccc2nc(O)c(-c3noc(-c4ccccc4)n3)cc2c1,CHEMBL1353989,=,=,IC50,13000.0,IC50,13.0
CCc1ccc(NC(=O)CNS(=O)(=O)c2nc(-c3ccc(OC(F)(F)F)cc3)cc(C(F)(F)F)n2)cc1,CHEMBL6143539,=,=,IC50,12.0,IC50,12.0
CS(=O)(=O)CC[C@@H](NC(=O)c1cnc(C(F)(F)F)nc1Oc1ccccc1)C1CC1,CHEMBL6166922,=,=,IC50,140.0,IC50,0.14
CS(=O)(=O)CC[C@@H](NC(=O)c1cnc(C(F)(F)F)nc1Oc1ccccc1)C1CC1,CHEMBL6166922,=,=,IC50,140.0,IC50,0.14
CCc1c(N2CCN(C(=O)c3ncnc(C)c3O)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6068555,=,=,IC50,100.0,IC50,100.0
CCc1c(N2CCN(C(=O)c3ncnc(C)c3O)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6068555,=,=,IC50,88.0,IC50,0.088
CCc1c(N2CCN(C(=O)c3cccc4nc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6189670,=,=,IC50,5.0,IC50,0.005
CCc1c(N2CCN(C(=O)c3nccc4nc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6189651,=,=,IC50,29.0,IC50,0.029
CCc1c(N2CCN(C(=O)c3nccc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6190376,=,=,IC50,32.0,IC50,0.032
