canonical_smiles,pIC50
CCc1c(N2CCN(C(=O)c3cc4cnc(Cl)cc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,5.7599502278873524
N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1F,5.657577319177793
CCc1c(N2CCN(C(=O)c3ccc(Cl)c4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,5.6485902480745604
CCc1c(N2CCN(C(=O)c3ncc(Cl)c4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,5.645891560852599
COc1ccc2nc(O)c(-c3noc(-c4ccc(F)cc4)n3)cc2c1,5.638272163982407
COc1ccc2nc(O)c(-c3noc(-c4ccccc4)n3)cc2c1,5.638272163982407
CCOc1ccc(-c2ccc(C(C3=C(O)CC(C)(C)CC3=O)C3=C(O)CC(C)(C)CC3=O)s2)cc1,5.637329070274333
CCc1c(N2CCN(C(=O)c3noc4ccccc34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,5.625068446021812
CNC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H]1CN(C(=O)C(C)c2ccc(C)cc2F)CC[C@@H]1NC(=O)CCn1c(=O)[nH]c2ccccc21,5.6020599913279625
O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1nnc(-c2ccncc2)s1,5.568636235841012
O=C(Nc1ccc(Br)c(Br)c1)Nc1nnc(-c2ccncc2)s1,5.537602002101044
CCC(=O)OCN1C(=O)C=CC1=O,5.522878745280337
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(CCc3ccccc3)s2)=C(O)C1,5.520136886976902
CCc1c(N2CCN(Cc3ncccc3O)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,5.481486060122112
CCc1c(N2CCN(C(=O)c3nccc4c(Br)c[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,5.478861916295964
O=C(Nc1ccc(Cl)c(Cl)c1)Nc1nnc(-c2ccncc2)s1,5.468521082957745
CCc1c(N2CCN(C(=O)c3ncc(Br)c4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,5.404503778174426
CNC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H]1CN(C(=O)Cc2ccc(C)cc2F)CC[C@@H]1NC(=O)CCn1c(=O)oc2ccccc21,5.207608310501746
N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1-c1cn[nH]c1,5.1487416512809245
CNC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H]1CN(C(=O)Cc2ccc(C)cc2F)CC[C@@H]1NC(=O)CCCn1c(=O)[nH]c2ccccc21,5.1249387366083
CNC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H]1CN(C(=O)Cc2ccccc2F)CC[C@@H]1NC(=O)CCn1c(=O)[nH]c2ccccc21,5.113509274827518
CCc1c(N2CCN(C(=O)c3cc4nc(OC)ccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,5.036401037402758
Cc1ccc(NC(=O)CN2C(=O)N/C(=C/c3ccccc3OCc3cccc(C(=O)O)c3)C2=O)cc1,5.008773924307505
CNC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H]1CN(C(=O)Cc2ccc(C)cc2F)CC[C@@H]1NC(=O)CCc1ccc[nH]c1=O,4.920818753952375
CCOC(=O)c1ccc(-c2ccc(C(C3=C(O)CC(C)(C)CC3=O)C3=C(O)CC(C)(C)CC3=O)s2)cc1,4.893469146177619
Cc1ccc(CC(=O)N2CC[C@H](NC(=O)CCn3c(=O)[nH]c4ccccc43)[C@H](C(=O)N[C@@H](C(=O)O)C3CCCCC3)C2)c(F)c1,4.7447274948966935
Cc1ccc(S(=O)(=O)c2ccc(C(C3=C(O)CC(C)(C)CC3=O)C3=C(O)CC(C)(C)CC3=O)s2)cc1,4.728855682050922
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(Cc3ccccc3)s2)=C(O)C1,4.707743928643524
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(-c3ccc(C(F)(F)F)cc3)s2)=C(O)C1,4.704432900037521
CCOc1cccc(-c2ccc(C(C3=C(O)CC(C)(C)CC3=O)C3=C(O)CC(C)(C)CC3=O)s2)c1,4.692717952966654
